1.0	Framework Fundamentals
1.1	Managed vs non managed
1.1.1	What is a managed framework and what is a non-managed framework?
1.1.2	Is .Net framework a managed framework?
1.1.3	C++ development runs in a managed environment
1.1.4	What’s the main characteristic of a managed framework?
1.1.5	What are its advantages and disadvantages of a managed framework?
1.1.6	How code is built in the .net framework and how is executed?
1.2	Object's life cycle
1.2.1	What’s the life cycle of an object in the .net framework?
1.3	Garbage collection
1.3.1	What’s the garbage collection function in .net framework?
1.3.2	Does garbage collection run automatically, how frequently?
1.3.3	Can I force the garbage collection execution?
1.3.4	If my class uses resources that need to be disposed when my instance is no longer needed, what interface does it need to implement?
1.4	Base objects/root object
1.4.1	What class is the root class of all the .net classes
1.4.2	What is boxing/unboxing/casting in .net
1.5	Base object methods
1.5.1	What are the main methods of the base (root) class?
1.5.2	What methods can I override from the base (root) class?
1.5.3	What is the meaning of overriding a method?
1.5.4	What is the meaning of overloading a method?
1.5.5	How do you define optional parameters in a method?
1.5.6	If you have multiple optional parameters what should you do to specify them at use in any order you wish?
1.6	Main namespaces
1.6.1	Which are the principal name spaces available in .net framework?
1.6.2	In which namespace resides the DateTime class?
1.6.3	In which namespace resides the Int32 class?
1.6.4	In which namespace resides the StringBuilder class?
1.6.5	In which namespace resides the Stream class?
1.6.6	Is the Stream class abstract?
1.6.7	Can you tell me some class which implements the Stream class?
1.6.8	What is the use of those classes inheriting from Stream class?
1.6.9	In your class definition what keyword you use to import a specific namespace/library?
1.6.10	Can I load or unload dynamically a namespace/library?
1.6.11	In a console if you want to write a text line into output, what instruction should you use?
1.7	Reflection
1.7.1	What is reflection in .net framework and why is so powerful?
1.7.2	Is reflection technology available only in .net framework or is also available in other platforms?
1.7.3	What is the main method exposed by the .net framework for start reflecting an object?
1.7.4	What are the main methods you can use when discovering/describing an object?
1.7.5	What is code obfuscation of an assembly and how can be implemented?
2.0	C# knowledge
2.1	Variable declarations
2.1.1	What is the use of the var keyword in C#?
2.1.2	Can you give me one reason you may declare a variable using var instead of specifying the type?
2.2	Keywords
2.2.1	Could you enumerate at least 5 C# keywords and its uses?
2.2.2	What are the main uses of the using keyword/statement?
2.2.3	Over what kind of objects works the foreach statement?
2.2.4	How is a typical foreach statement definition?
2.2.5	What happens when you use the break and/or continue keywords inside a for/foreach statement?
2.2.6	Where can you initialize a private variable you’ve prefixed with the readonly keyword in your class definition?
2.2.7	What the keyword async is used for and which other keyword needs to be set when you use it?
2.2.8	What is the use of the static keyword in C#?
2.2.9	If you want to pass multiple parameters of a specific type into a method what keyword you may use, what should be a standard definition for string parameters?
2.3	Static classes/methods
2.3.1	Why you may need to use static classes in C#?
2.3.2	What is the lifecycle of a static instance of your class?
2.3.3	Can also a class methods or properties be prefixed as static?
2.3.4	If you define a class as static can you use the “this” keyword to refer to the current instance?
2.4	Value and reference types
2.4.1	What are value types and reference types?
2.4.2	The .net framework primitive types are value types or reference types?
2.5	Data types
2.5.1	To what type maps the int type in the .net framework?
2.5.2	To what type maps the long type in the .net framework?
2.5.3	Please enumerate at least 5 primitive types of the .net framework.
2.6	String vs StringBuilder
2.6.1	What are immutable values in .net framework?
2.6.2	String type is immutable or mutable?
2.6.3	When should I use String class and when the StringBuilder class?
